common_name,diameter_breast_height,date_planted,age_description,latitude,longitude
Urbanite Ash,,2019-01-08,,-37.79712535279412,144.96820455021995
Urbanite Ash,,2019-01-08,,-37.797269885903006,144.96958828687045
Grey Box,,2019-01-10,,-37.77884463209165,144.94513413382893
Long-leaved Indian Pine,,2019-01-10,,-37.81344780174102,144.98076474314874
Brush Box,,2019-01-10,,-37.80177597814928,144.95427540606687
Red Flowering Yellow Gum,,2019-01-10,,-37.79257673232257,144.9566406280447
Rough-barked apple,,2019-01-10,,-37.808576388722734,144.95219913959434
Green Honey Locust,,2019-01-10,,-37.82574516653951,144.9616907841175
Chinese Parasol Tree,,2019-01-10,,-37.8083632169176,144.95200489136764
Pau Ferro,,2019-01-10,,-37.80847060120604,144.95211164806665
Magnolia,,2019-01-10,,-37.81190922941352,144.9794361820969
Magnolia,,2019-01-10,,-37.812860677568025,144.98000251523877
Green Honey Locust,,2019-01-10,,-37.82600194652111,144.96144819915125
European Olive,,2019-01-10,,-37.79135757391195,144.92389773701925
Camphor Laurel,,2019-01-11,,-37.79242702515589,144.94543037316046
Camphor Laurel,,2019-01-11,,-37.79240787187137,144.94539660836818
Camphor Laurel,,2019-01-11,,-37.79247327502706,144.94549348099406
Wilga,,2019-01-30,,-37.79762950247195,144.91921756272046
Australian Frangipani,,2019-02-04,,-37.798869877455225,144.94425220848905
Blueberry ash,,2019-02-04,,-37.79892868749496,144.9439661964707
Australian Frangipani,,2019-02-04,,-37.79882987616595,144.94422185844206
Australian Frangipani,,2019-02-04,,-37.7992936249525,144.94413949482976
Flowering Gum,,2019-02-04,,-37.798908203126516,144.9436394533077
Australian Frangipani,,2019-02-04,,-37.79940296208778,144.9441512275144
Flowering Gum,,2019-02-04,,-37.79889351871331,144.94353651111334
American pepper,,2019-02-04,,-37.79853375379577,144.94418077906852
Liquidamber or Sweet Gum,,2019-02-04,,-37.79839572895798,144.94397631842133
Lemon Scented Gum,,2019-02-04,,-37.79894317709837,144.94361928987124
Salmon Gum,,2019-02-04,,-37.798083203028526,144.94431195108226
Jacaranda,,2019-02-04,,-37.7985311406673,144.94407239190872
Tulipwood,,2019-02-04,,-37.7988662398954,144.94393544684627
Chinese Elm,,2019-02-04,,-37.798641204708616,144.94389864374227
Australian Frangipani,,2019-02-04,,-37.79882896227217,144.94426242853177
Tulipwood,,2019-02-04,,-37.79896563460388,144.94391451931799
Australian Frangipani,,2019-02-04,,-37.799246140897594,144.94418124283771
Jacaranda,,2019-02-04,,-37.79978446351192,144.944184147604
American pepper,,2019-02-04,,-37.798507149197526,144.9441744753502
Urbanite Ash,,2019-02-04,,-37.79822785619618,144.94410113012393
Tulipwood,,2019-02-04,,-37.79891122599991,144.94391580092176
Silky Oak,,2019-02-04,,-37.79837113054038,144.94422946667066
Australian Frangipani,,2019-02-04,,-37.799635955478756,144.94408639123438
Chinese Elm,,2019-02-04,,-37.79861858311014,144.94393981566924
American pepper,,2019-02-04,,-37.79976946618074,144.94415617039343
American pepper,,2019-02-04,,-37.79855152453576,144.94404241200863
Firewheel Tree,,2019-02-04,,-37.798985587855064,144.94419539487663
Eastern redbud,,2019-02-04,,-37.80915112156106,144.94458340595872
American pepper,,2019-02-04,,-37.79847865574157,144.94415289203033
Chinese Flame Tree,,2019-02-04,,-37.79870161683537,144.94381281275878
Australian Frangipani,,2019-02-04,,-37.79922319833361,144.9441575746914
Flowering Gum,,2019-02-04,,-37.798923986450966,144.94357825516545
Chinese Elm,,2019-02-04,,-37.798733438255454,144.94379273688898
Lemon Scented Gum,,2019-02-04,,-37.79887306561846,144.94408380817276
Jacaranda,,2019-02-04,,-37.79844405957363,144.94410694678325
Blueberry ash,,2019-02-04,,-37.798931599297084,144.94376134742683
Chinese Elm,,2019-02-04,,-37.79869326725711,144.94384041479586
Flowering Gum,,2019-02-04,,-37.7988401322544,144.94408665203673
Lemon Scented Gum,,2019-02-04,,-37.79887151570888,144.94361310022134
American pepper,,2019-02-04,,-37.79982393084116,144.944189072617
Australian Frangipani,,2019-02-04,,-37.7996068672416,144.94412365438825
Urbanite Ash,,2019-02-04,,-37.798508744816516,144.94381679843434
Salmon Gum,,2019-02-04,,-37.7980677460209,144.94425763907674
Urbanite Ash,,2019-02-04,,-37.798978589049696,144.94310303637664
Australian Frangipani,,2019-02-04,,-37.79957662957141,144.94409507769458
Jacaranda,,2019-02-04,,-37.798496538275835,144.94411900656985
Urbanite Ash,,2019-02-04,,-37.79892204582491,144.9431936444857
Salmon Gum,,2019-02-04,,-37.798203688046534,144.9443531301342
Chinese Flame Tree,,2019-02-04,,-37.79865455901177,144.9438789664516
Urbanite Ash,,2019-02-04,,-37.79837191862405,144.94397005087507
Lemon Scented Gum,,2019-02-04,,-37.79888758166429,144.94420810643885
Lemon Scented Gum,,2019-02-04,,-37.79907233535397,144.94421400034975
Firewheel Tree,,2019-02-04,,-37.79898265736065,144.94433210200296
Urbanite Ash,,2019-02-04,,-37.798849598503516,144.94330241064543
Urbanite Ash,,2019-02-04,,-37.7983656904484,144.94401076806983
Chinese Flame Tree,,2019-02-04,,-37.7986426515705,144.9439350597325
Firewheel Tree,,2019-02-04,,-37.798883742484385,144.94434438429303
Jacaranda,,2019-02-04,,-37.79851716987493,144.9441032161094
Chinese Elm,,2019-02-04,,-37.79880471114912,144.94382312803745
Jacaranda,,2019-02-04,,-37.79874767058784,144.9437304462305
Australian Frangipani,,2019-02-04,,-37.79943138235959,144.94412216015775
Silky Oak,,2019-02-04,,-37.79839588770837,144.94426932478976
Liquidamber or Sweet Gum,,2019-02-04,,-37.798345385963295,144.94399883837468
Chinese Flame Tree,,2019-02-04,,-37.79877058151646,144.94379874823443
American pepper,,2019-02-04,,-37.798419100835645,144.9441432998213
Salmon Gum,,2019-02-04,,-37.798266201401255,144.94429472569206
Liquidamber or Sweet Gum,,2019-02-04,,-37.79826824876103,144.94409194671013
Liquidamber or Sweet Gum,,2019-02-04,,-37.79854001545005,144.94377550025374
Australian Frangipani,,2019-02-04,,-37.79967632739519,144.94413796921046
Chinese Elm,,2019-02-04,,-37.798672546507824,144.94385109716904
Urbanite Ash,,2019-02-04,,-37.7985671950825,144.94373215765333
Urbanite Ash,,2019-02-04,,-37.79839921546986,144.94394374070592
Tulipwood,,2019-02-04,,-37.79883225817607,144.94398147672436
Jacaranda,,2019-02-04,,-37.799812881804385,144.94415496658593
Liquidamber or Sweet Gum,,2019-02-04,,-37.798596746351414,144.94369045280476
Silky Oak,,2019-02-04,,-37.79839835912301,144.94431797783207
Sandpaper Fig,,2019-02-05,,-37.80231063812467,144.91486162822912
Sandpaper Fig,,2019-02-05,,-37.80893558793599,144.9438158606621
Flame Tree,,2019-02-05,,-37.83048261442082,144.97458691259848
Flame Tree,,2019-02-05,,-37.81793979857912,144.97156769260113
Maidenhair Tree,,2019-02-05,,-37.806095979543436,144.96738113211106
Bowhall maple,,2019-02-05,,-37.816279113106354,144.97634428346436
Wilga,,2019-02-05,,-37.82118969371336,144.92772483587888
Queensland Bottle Tree,,2019-02-05,,-37.818163899640396,144.9717756953627
Flame Tree,,2019-02-05,,-37.81801529245876,144.97171796439463
Weaping Myall,,2019-02-05,,-37.78788800818116,144.94266501934496
Smooth-barked apple,,2019-02-05,,-37.81796122296331,144.97155585964245
Sandpaper Fig,,2019-02-05,,-37.808979143023386,144.94385361248624
River Peppermint,,2019-02-05,,-37.83119621404872,144.97193048309833
Wilga,,2019-02-05,,-37.79576176422302,144.91616645327179
Liquidamber or Sweet Gum,,2019-02-07,,-37.80760297548245,144.96560957438163
Liquidamber or Sweet Gum,,2019-02-07,,-37.79417051461901,144.96544016178902
Ivy curl,,2019-02-07,,-37.80234676304187,144.94837935929814
Ivy curl,,2019-02-07,,-37.801262290568765,144.94857087215527
Smooth-barked apple,,2019-02-07,,-37.79675167896082,144.95393999204293
Smooth-barked apple,,2019-02-07,,-37.796743911656314,144.95386638735198
Kurrajong,,2019-02-07,,-37.798480345141705,144.92660820483704
Brush Box,,2019-02-07,,-37.78877249800543,144.92969451617282
Algerian Oak,,2019-02-07,,-37.792284719222906,144.92995509975844
Golden Rain Tree,,2019-02-07,,-37.79226869839519,144.9235983243858
Maidenhair Tree,,2019-02-07,,-37.8034830561552,144.96782735566808
Red Box,,2019-02-07,,-37.79497507883734,144.9511138861887
Algerian Oak,,2019-02-07,,-37.79195484310678,144.9297166328472
Algerian Oak,,2019-02-07,,-37.792352929700776,144.92997000285033
Silky Oak,,2019-02-07,,-37.77585906060453,144.94120866402668
Freeman Maple,,2019-02-07,,-37.79179101350213,144.9278465631148
Red Box,,2019-02-07,,-37.795014826869235,144.95112459875872
Tuckeroo,,2019-02-07,,-37.79150722731301,144.93355459917456
Ivy curl,,2019-02-07,,-37.80171531817698,144.94848848824816
Freeman Maple,,2019-02-07,,-37.79298328488461,144.92781688452212
Blueberry ash,,2019-02-09,,-37.800592391238794,144.94481024998964
Blueberry ash,,2019-02-09,,-37.80102035829859,144.94473274100682
Silky Oak,,2019-02-09,,-37.786142855245636,144.9626746269796
Blueberry ash,,2019-02-09,,-37.800720251438435,144.9447886475506
Rottnest Island Pine,,2019-02-09,,-37.79480937518335,144.91432190758266
Chinaberry Tree,,2019-02-09,,-37.82522100481205,144.97627408581678
Rottnest Island Pine,,2019-02-09,,-37.794802893277286,144.91428665791298
Manna Gum,,2019-02-09,,-37.78703280989806,144.95970439413233
Blueberry ash,,2019-02-09,,-37.801135965516494,144.94471647521272
Blueberry ash,,2019-02-09,,-37.801236276929174,144.94469643112993
Eumundi Quandong,,2019-02-10,,-37.809397234026314,144.96253527074362
Eumundi Quandong,,2019-02-10,,-37.79150719072453,144.92141602956937
Eumundi Quandong,,2019-02-10,,-37.80948275430555,144.96225917424982
Tipa,,2019-02-10,,-37.79222180561344,144.9216704763459
Swamp Sheoak,,2019-02-18,,-37.80168816836204,144.91439678398038
Flowering Gum,,2019-02-18,,-37.79831083232494,144.92636241033404
Snow Gum,,2019-02-21,,-37.82586827402055,144.96886634940907
Silky Oak,,2019-03-04,,-37.82312622573571,144.9880002853223
Silky Oak,,2019-03-04,,-37.82311707827819,144.98795543107224
Algerian Oak,,2019-03-04,,-37.79294793508712,144.92995748332407
Silky Oak,,2019-03-04,,-37.82310819601875,144.98790500280182
Hill¿s Weeping Fig,,2019-03-05,,-37.820987186461814,144.94418407915109
Chinaberry Tree,,2019-03-05,,-37.80598042589105,144.96480757735102
Chinaberry Tree,,2019-03-05,,-37.80085359736691,144.94401264908996
Flowering Gum,,2019-03-05,,-37.82580940707817,144.9720175319626
Chinaberry Tree,,2019-03-05,,-37.80607330395443,144.9655096914473
Hill¿s Weeping Fig,,2019-03-05,,-37.82118969942228,144.94444327307042
Hill¿s Weeping Fig,,2019-03-05,,-37.82085364221809,144.9441226893835
Flowering Gum,,2019-03-05,,-37.825584584348356,144.97218615249815
Chinaberry Tree,,2019-03-05,,-37.80598922669511,144.96488922840564
Hill¿s Weeping Fig,,2019-03-05,,-37.820946484547655,144.9441652141409
Chinaberry Tree,,2019-03-05,,-37.806027216596505,144.96517895572032
Flowering Gum,,2019-03-05,,-37.8254052610182,144.97206642901912
Chinaberry Tree,,2019-03-05,,-37.8060603727667,144.96539237519102
Hill¿s Weeping Fig,,2019-03-05,,-37.820898080774384,144.9441439499623
Hill¿s Weeping Fig,,2019-03-05,,-37.82103425782357,144.94420129057804
Chinaberry Tree,,2019-03-05,,-37.806004051741716,144.9650013812673
Chinaberry Tree,,2019-03-05,,-37.80601245713937,144.9650914483046
Ivy curl,,2019-03-07,,-37.79325576125449,144.95608965228098
Smooth-barked apple,,2019-03-07,,-37.80384464786934,144.95671091904603
Kurrajong,,2019-03-07,,-37.798559195055205,144.9403401488406
Tulip Tree,,2019-03-07,,-37.835932547811765,144.98408410006323
Liquidamber or Sweet Gum,,2019-03-07,,-37.837026170151816,144.98000705202762
Tulip Tree,,2019-03-07,,-37.83504808711791,144.9786260173482
Ivy curl,,2019-03-07,,-37.798098991486725,144.93073905042598
Kurrajong,,2019-03-07,,-37.798340707767125,144.94054382955375
Maidenhair Tree,,2019-03-07,,-37.834376875601464,144.97885602414595
Liquidamber or Sweet Gum,,2019-03-07,,-37.83708522730861,144.97999305525107
Ivy curl,,2019-03-07,,-37.79309632849121,144.9563744311791
Ivy curl,,2019-03-07,,-37.79816101354953,144.93061205245863
Ivy curl,,2019-03-07,,-37.79836242075549,144.93067843465434
Ivy curl,,2019-03-07,,-37.79790859620984,144.9305249482891
Lemon Scented Gum,,2019-03-07,,-37.81839146685587,144.9715519198051
Ivy curl,,2019-03-07,,-37.79842909128074,144.9307031493611
Ivy curl,,2019-03-07,,-37.798377967667584,144.93083495423352
Ivy curl,,2019-03-07,,-37.79816927920729,144.93075934852672
Dwarf lemon scented gum,,2019-03-08,,-37.80643647302405,144.90911918603706
Lemon Scented Gum,,2019-03-08,,-37.80646063732204,144.90919096962108
English Elm,,2019-03-10,,-37.82532070319117,144.97361409279853
Dutch Elm,,2019-03-10,,-37.823803286850634,144.9831600706178
UNKNOWN,,2019-03-10,,-37.782015736494216,144.95254141663813
Dutch Elm,,2019-03-10,,-37.821325330097935,144.9731580735044
Sweet Bursaria,,2019-03-10,,-37.786831080217404,144.952556245529
Dutch Elm,,2019-03-10,,-37.8240861943355,144.985335615598
Atlas Cedar,,2019-03-10,,-37.82549043233778,144.97740546054163
Dutch Elm,,2019-03-10,,-37.823887730712045,144.9838127325919
Aleppo Pine,,2019-03-10,,-37.83163691206654,144.97667177529655
Crepe Myrtle,,2019-03-10,,-37.82263649323259,144.9738149826758
Moreton Bay Fig,,2019-03-19,,-37.844208951261336,144.9829535849749
Yellow Box,,2019-03-27,,-37.7756277267795,144.94035289631324
Wirilda,,2019-04-02,,-37.79743025749547,144.91681187564868
Scarlet Bottlebrush,,2019-04-02,,-37.799024628185364,144.9166906482801
Weeping Bottlebrush,,2019-04-02,,-37.798774858205995,144.91677920951759
Drooping sheoak,,2019-04-02,,-37.79894728047455,144.91673495617803
Weeping Bottlebrush,,2019-04-02,,-37.798587650850344,144.9168384149667
Moonah,,2019-04-02,,-37.79873663626608,144.9167937982434
Sweet Bursaria,,2019-04-02,,-37.79744454142673,144.9168195376887
Lemon Bottlebrush,,2019-04-02,,-37.79715614619591,144.91666046823332
Prickly-leaved wattle,,2019-04-02,,-37.79896582705454,144.91672887012604
Lemon-scented teatree,,2019-04-02,,-37.797315958206,144.91675410081808
Moonah,,2019-04-02,,-37.79685122583855,144.91637217054586
Lemon Bottlebrush,,2019-04-02,,-37.797178292831056,144.91667449623515
Moonah,,2019-04-02,,-37.79705138269674,144.9165711948426
Moonah,,2019-04-02,,-37.796831358486514,144.91634944754037
Algerian Oak,,2019-04-04,,-37.78941023170077,144.9345071640051
Urbanite Ash,,2019-04-04,,-37.82076784360084,144.9430542353011
Urbanite Ash,,2019-04-04,,-37.8203423984005,144.9429509664264
Algerian Oak,,2019-04-04,,-37.78898176999355,144.92898315552435
Algerian Oak,,2019-04-04,,-37.78998634115777,144.93429069257607
Urbanite Ash,,2019-04-04,,-37.82039898635147,144.9429764329995
Weaping Myall,,2019-04-06,,-37.795015303033466,144.91427159857173
River red gum,,2019-04-06,,-37.794885392029016,144.91480298505698
Boobialla,,2019-04-06,,-37.7948592967309,144.91656180515218
River red gum,,2019-04-06,,-37.794811133548464,144.91484868170215
River red gum,,2019-04-06,,-37.794963672166844,144.9147910173843
River Sheoak,,2019-04-06,,-37.79453889656058,144.9152511971688
Wilga,,2019-04-06,,-37.79509260803162,144.91452006105945
Boobialla,,2019-04-06,,-37.79508767034347,144.91648634174518
Wilga,,2019-04-06,,-37.795246245776354,144.91457536179055
River red gum,,2019-04-06,,-37.795456557487725,144.9150525529775
Wilga,,2019-04-06,,-37.79517866104784,144.9144635842535
River red gum,,2019-04-06,,-37.79450356338667,144.91498100064655
Weaping Myall,,2019-04-06,,-37.79508716167062,144.91433464990078
Boobialla,,2019-04-06,,-37.794911196411206,144.91649005077244
Boobialla,,2019-04-06,,-37.79493092919556,144.91416847051488
Weaping Myall,,2019-04-06,,-37.794995412442134,144.91421196892878
Weaping Myall,,2019-04-06,,-37.79494244595816,144.9141877931907
Wilga,,2019-04-06,,-37.7952699074073,144.91458332729334
Weaping Myall,,2019-04-06,,-37.795244975691055,144.91453417352096
Boobialla,,2019-04-06,,-37.79526676503876,144.91455854498608
Weaping Myall,,2019-04-06,,-37.794897650881175,144.9143044343375
Lemon Scented Gum,,2019-04-06,,-37.79461925214254,144.91600311512897
Sweet Bursaria,,2019-04-06,,-37.795209613947684,144.91665019635826
Boobialla,,2019-04-06,,-37.79506539888584,144.91646016627615
River Sheoak,,2019-04-06,,-37.79445725458075,144.91527688639567
Kurrajong,,2019-04-06,,-37.795243916249625,144.91655667740125
Boobialla,,2019-04-06,,-37.79533853143621,144.91470291182435
Lemon Scented Gum,,2019-04-06,,-37.79464916231651,144.91620123839198
Weaping Myall,,2019-04-06,,-37.79517938268257,144.9145043336503
Weaping Myall,,2019-04-06,,-37.79522861447583,144.91458732765386
Boobialla,,2019-04-06,,-37.79497337625708,144.916520556031
Lemon Scented Gum,,2019-04-06,,-37.79467909752907,144.916456824435
Boobialla,,2019-04-06,,-37.794776698571475,144.91653346345686
Weaping Myall,,2019-04-06,,-37.795074474639655,144.91437645774695
Wilga,,2019-04-06,,-37.79510480766189,144.9143845762331
Boobialla,,2019-04-06,,-37.79474459399596,144.91648632788392
River red gum,,2019-04-06,,-37.795487340162666,144.91513697487025
Sweet Bursaria,,2019-04-06,,-37.79526735716448,144.91655726803015
Wilga,,2019-04-06,,-37.795111678745855,144.91443162581666
River Sheoak,,2019-04-06,,-37.79447436911713,144.91520009057808
Boobialla,,2019-04-06,,-37.79495087435087,144.91444489270955
Boobialla,,2019-04-06,,-37.79496203800316,144.9165011143978
Sweet Bursaria,,2019-04-06,,-37.79525930001471,144.91658066161085
Weaping Myall,,2019-04-06,,-37.795203256033275,144.91455987675354
Boobialla,,2019-04-06,,-37.7950426716324,144.91644388373422
Kurrajong,,2019-04-06,,-37.795281461798,144.9165446067558
Boobialla,,2019-04-06,,-37.795005337407986,144.91657996074167
Boobialla,,2019-04-06,,-37.79530479730594,144.91463504017983
Boobialla,,2019-04-06,,-37.794831924126186,144.9165172621068
Boobialla,,2019-04-06,,-37.79496795961859,144.91655057562969
Wilga,,2019-04-06,,-37.795068195251496,144.91439843872325
River red gum,,2019-04-06,,-37.795415761737644,144.91498283544533
Boobialla,,2019-04-06,,-37.79486795539242,144.91652147373824
Weaping Myall,,2019-04-06,,-37.79534169817268,144.91467817920065
Weaping Myall,,2019-04-06,,-37.79497275767278,144.9143880629499
Boobialla,,2019-04-06,,-37.795063041456466,144.91643388555752
Lemon Scented Gum,,2019-04-06,,-37.79457691100295,144.91648774572124
Boobialla,,2019-04-06,,-37.794995925541706,144.91647074912714
Boobialla,,2019-04-06,,-37.79496289752942,144.91658535496398
Sweet Bursaria,,2019-04-06,,-37.79522889314563,144.91660911212156
Weaping Myall,,2019-04-06,,-37.79525526797038,144.91464211125117
River red gum,,2019-04-06,,-37.79529818121928,144.91487212238192
River red gum,,2019-04-06,,-37.795213182177754,144.9148354461582
Boobialla,,2019-04-06,,-37.7950857770418,144.9164557325266
Boobialla,,2019-04-06,,-37.79481431665578,144.91649493041885
Sweet Bursaria,,2019-04-06,,-37.795241606245355,144.91658910825117
River red gum,,2019-04-06,,-37.79536497029658,144.91491862303133
Boobialla,,2019-04-06,,-37.79488745917184,144.91648799215344
Boobialla,,2019-04-06,,-37.79530171964592,144.91461900052772
Boobialla,,2019-04-06,,-37.79486906691811,144.9164977075995
Boobialla,,2019-04-06,,-37.79489824793097,144.91433814610284
Boobialla,,2019-04-06,,-37.795019091504244,144.9165627667914
River Sheoak,,2019-04-06,,-37.79458834089681,144.9150560674859
River red gum,,2019-04-06,,-37.795123829138404,144.91479207857336
Sweet Bursaria,,2019-04-06,,-37.79525704585782,144.91653984162895
Kurrajong,,2019-04-06,,-37.79522798269548,144.91664933960934
Boobialla,,2019-04-06,,-37.79486328685912,144.91654284139997
Lemon Scented Gum,,2019-04-06,,-37.79453291518699,144.91634407460276
Lemon Scented Gum,,2019-04-06,,-37.79442239998726,144.916041807632
Kurrajong,,2019-04-06,,-37.79521683779035,144.91661535617772
Boobialla,,2019-04-06,,-37.795028593533864,144.9165344494218
Boobialla,,2019-04-06,,-37.794950175377245,144.9164825960176
Boobialla,,2019-04-06,,-37.7953027768908,144.91467870587755
Boobialla,,2019-04-06,,-37.79508649195788,144.9146123338377
Boobialla,,2019-04-06,,-37.7950127820785,144.91652194731336
River Sheoak,,2019-04-06,,-37.79441946797472,144.91524478812175
Wilga,,2019-04-06,,-37.79513388258485,144.91448449024946
Sweet Bursaria,,2019-04-06,,-37.795220930379365,144.916673499891
Boobialla,,2019-04-06,,-37.79499102582425,144.91451383268256
Weaping Myall,,2019-04-06,,-37.79501078166578,144.91430125246816
Boobialla,,2019-04-06,,-37.794766086866915,144.9164786830538
River red gum,,2019-04-06,,-37.794743747949134,144.91488555414563
Boobialla,,2019-04-06,,-37.795083147087006,144.91642423549163
Boobialla,,2019-04-06,,-37.79480277225568,144.91654533651925
Wilga,,2019-04-07,,-37.795150144931085,144.91460895391137
Ironbark,,2019-04-07,,-37.79513724042905,144.91452652825893
Flat Topped Yate,,2019-04-07,,-37.794950513838664,144.91438891567373
Wilga,,2019-04-07,,-37.794934467891814,144.91445477994975
Rottnest Island Pine,,2019-04-07,,-37.79492884903057,144.9142138411449
Yarra Gum,,2019-04-07,,-37.792104710709964,144.9520188840853
Rottnest Island Pine,,2019-04-07,,-37.79528202233101,144.91462625476976
Rottnest Island Pine,,2019-04-07,,-37.7949771209493,144.9142019219321
Wilga,,2019-04-07,,-37.79497726475926,144.91454079372608
Ironbark,,2019-04-07,,-37.79514929871019,144.9145611670301
Ironbark,,2019-04-07,,-37.79504164472059,144.91443598030273
Sweet Bursaria,,2019-04-07,,-37.788845234619174,144.9547150973203
Ironbark,,2019-04-07,,-37.7951831726818,144.91457077592403
Flat Topped Yate,,2019-04-07,,-37.7950106969384,144.91424049793002
Yarra Gum,,2019-04-07,,-37.79191764596211,144.95188527895718
Brush Box,,2019-04-07,,-37.809506237481614,144.95482900630893
Ironbark,,2019-04-07,,-37.79527180119663,144.91461393651713
Tuckeroo,,2019-04-07,,-37.82011665029957,144.94621322121563
Chinese Pistachio,,2019-04-07,,-37.79311799636188,144.94510722544595
Rottnest Island Pine,,2019-04-07,,-37.794961239688256,144.9141956683322
Wilga,,2019-04-07,,-37.795040763986,144.91456944322937
Sweet Bursaria,,2019-04-07,,-37.78882089396585,144.9547249664922
Rottnest Island Pine,,2019-04-07,,-37.794887787603344,144.91428688217545
Silver Wattle,,2019-04-07,,-37.788932923984575,144.95471018113653
Yarra Gum,,2019-04-07,,-37.78910552992352,144.95471711791177
Wilga,,2019-04-07,,-37.79517255233258,144.91462751619412
Wilga,,2019-04-07,,-37.79507934143777,144.91457494508848
Paperbark,,2019-04-07,,-37.79495323000048,144.91441507262564
Flat Topped Yate,,2019-04-07,,-37.79491180648752,144.91420307764184
Silver Wattle,,2019-04-07,,-37.788903693080734,144.9547134853807
Rottnest Island Pine,,2019-04-07,,-37.794892007652024,144.91432162767978
Rottnest Island Pine,,2019-04-07,,-37.79488293100754,144.91425181388652
